,,coef,std err,t,P>|t|,[0.025,0.975]
1,Technology,    0.0014,    0.000,    7.045, 0.000,    0.001,    0.002
2,Industrials,    0.0008,    0.000,    3.806, 0.000,    0.000,    0.001
3,Financials,    0.0008,    0.000,    3.887, 0.000,    0.000,    0.001
4,Health,    0.0008,    0.000,    3.819, 0.000,    0.000,    0.001
5,Discretionary,    0.0008,    0.000,    3.448, 0.001,    0.000,    0.001
6,Staples,    0.0007,    0.000,    2.247, 0.025, 8.85e-05,    0.001
7,Estate,    0.0008,    0.000,    2.464, 0.014,    0.000,    0.001
8,Utilities,    0.0010,    0.000,    3.052, 0.002,    0.000,    0.002
9,Materials,    0.0004,    0.000,    1.092, 0.275,   -0.000,    0.001
10,Services,    0.0008,    0.000,    2.414, 0.016,    0.000,    0.002
11,Energy,   -0.0006,    0.000,   -1.555, 0.120,   -0.001,    0.000
12,Technology:Covid,    0.0003,    0.000,    1.130, 0.258,   -0.000,    0.001
13,Industrials:Covid,    0.0003,    0.000,    1.177, 0.239,   -0.000,    0.001
14,Financials:Covid,    0.0002,    0.000,    0.559, 0.576,   -0.000,    0.001
15,Health:Covid,    0.0003,    0.000,    1.054, 0.292,   -0.000,    0.001
16,Discretionary:Covid,    0.0009,    0.000,    2.798, 0.005,    0.000,    0.002
17,Staples:Covid,   -0.0002,    0.000,   -0.413, 0.680,   -0.001,    0.001
18,Estate:Covid,   -0.0003,    0.000,   -0.709, 0.478,   -0.001,    0.001
19,Utilities:Covid,   -0.0011,    0.000,   -2.471, 0.013,   -0.002,   -0.000
20,Materials:Covid,    0.0013,    0.000,    2.820, 0.005,    0.000,    0.002
21,Services:Covid,    0.0005,    0.000,    1.015, 0.310,   -0.000,    0.001
22,Energy:Covid,    0.0018,    0.001,    3.562, 0.000,    0.001,    0.003
